pickup_time,dropoff_time,distance,pickup_location,dropoff_location,fare
2023-01-01 00:00:00,2023-01-01 00:15:00,3.632,8,32,13.67
2023-01-01 00:00:00,2023-01-01 00:15:00,9.36,8,3,20.62
2023-01-01 00:00:00,2023-01-01 00:15:00,2.176,6,6,7.0
2023-01-01 00:00:00,2023-01-01 00:45:00,13.136000000000003,32,77,29.0
2023-01-01 00:00:00,2023-01-01 00:30:00,13.056000000000001,8,4,25.5
2023-01-01 00:00:00,2023-01-01 00:15:00,8.64,32,6,22.43
2023-01-01 00:00:00,2023-01-01 00:15:00,5.248,32,31,18.98
2023-01-01 00:00:00,2023-01-01 00:15:00,1.584,14,14,7.75
2023-01-01 00:00:00,2023-01-01 00:15:00,1.3920000000000001,32,8,7.75
